,blocks,shift2_shape.started,shift2_shape.stopped,key_resp.keys,key_resp.rt,Unnamed: 67
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,block1.csv,33.5264489580004,33.85907091599984,,,
6,block1.csv,42.02660312500029,42.35999529099991,m,3.509167459000309,
7,block2.csv,53.59139512500042,53.92457000000013,,,
8,block2.csv,62.49148216600042,62.824788375000026,z,3.311734543000057,
9,block3.csv,73.04131541600054,73.37465000000066,,,
10,block3.csv,81.84333450000031,82.17676987499999,v,0.9144704589998582,
11,block4.csv,90.05997616600052,90.39382062500044,,,
12,block4.csv,98.7269002080002,99.0601417910002,z,1.271378583999649,
13,block5.csv,107.09183395800028,107.42109187500046,,,
14,block5.csv,115.9770992499998,116.31032216600032,m,1.439347543000622,
15,block6.csv,124.76030687500042,125.09372408299988,,,
16,block6.csv,133.7272987080005,134.06068412500008,z,1.84735262599952,
17,block7.csv,142.69360133300052,143.02698154100017,,,
18,block7.csv,151.37500791599996,151.7084079160004,m,0.9232240419996742,
19,block8.csv,159.39429950000067,159.72706829100025,,,
20,block8.csv,168.05870275000052,168.3919052500005,m,3.7009160839998,
21,block9.csv,178.8421075410006,179.1752550000001,,,
22,block9.csv,187.57757058300007,187.9111911660002,m,1.1400712919994476,
23,block10.csv,195.99410162500044,196.32741887500012,,,
24,block10.csv,204.508868166,204.84231754099983,v,2.7403662920005445,
25,block11.csv,214.39478879099988,214.72761470800012,,,
26,block11.csv,222.82747041600032,223.16102720800063,v,1.4474934590007251,
27,block12.csv,231.592022416,231.92557558299995,,,
28,block12.csv,240.19494004100036,240.52723408300065,m,2.815929375000451,
